2026-02-26 05:10:15.396496 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:15.399532 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:15.402634 | TCP | 13.107.139.11:443 -> 192.168.100.46:64529
2026-02-26 05:10:15.405079 | TCP | 192.168.100.46:64529 -> 13.107.139.11:443
2026-02-26 05:10:15.481740 | TCP | 20.42.73.31:443 -> 192.168.100.46:64530
2026-02-26 05:10:15.484760 | TCP | 192.168.100.46:64530 -> 20.42.73.31:443
2026-02-26 05:10:15.490235 | TCP | 192.168.100.46:64530 -> 20.42.73.31:443
2026-02-26 05:10:15.805723 | TCP | 20.42.73.31:443 -> 192.168.100.46:64530
2026-02-26 05:10:15.809404 | TCP | 20.42.73.31:443 -> 192.168.100.46:64530
2026-02-26 05:10:15.812992 | TCP | 20.42.73.31:443 -> 192.168.100.46:64530
2026-02-26 05:10:15.815606 | TCP | 192.168.100.46:64530 -> 20.42.73.31:443
2026-02-26 05:10:15.818223 | TCP | 192.168.100.46:64530 -> 20.42.73.31:443
2026-02-26 05:10:16.216226 | TCP | 20.42.73.31:443 -> 192.168.100.46:64530
2026-02-26 05:10:16.219000 | TCP | 192.168.100.46:64530 -> 20.42.73.31:443
2026-02-26 05:10:16.231702 | TCP | 192.168.100.46:64530 -> 20.42.73.31:443
2026-02-26 05:10:16.235303 | TCP | 192.168.100.46:64530 -> 20.42.73.31:443
2026-02-26 05:10:16.239341 | TCP | 192.168.100.46:64530 -> 20.42.73.31:443
2026-02-26 05:10:16.524254 | TCP | 20.42.73.31:443 -> 192.168.100.46:64530
2026-02-26 05:10:16.528009 | TCP | 20.42.73.31:443 -> 192.168.100.46:64530
2026-02-26 05:10:16.531002 | TCP | 20.42.73.31:443 -> 192.168.100.46:64530
2026-02-26 05:10:16.533988 | TCP | 20.42.73.31:443 -> 192.168.100.46:64530
2026-02-26 05:10:16.536552 | TCP | 192.168.100.46:64530 -> 20.42.73.31:443
2026-02-26 05:10:16.539604 | TCP | 192.168.100.46:64530 -> 20.42.73.31:443
